Movie Name,Director,Cast,Plot,Genre
Kill Bill: Vol. 1,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",Action
The Deer Hunter,Michael Cimino,"Robert De Niro, John Cazale, John Savage, Christopher Walken",An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,Drama
Ford v Ferrari,James Mangold,"Matt Damon, Christian Bale, Jon Bernthal","American car designer Carroll Shelby and driver Ken Miles battle corporate interference, the laws of physics and their own personal demons to build a revolutionary race car for Ford and challenge Ferrari at the 24 Hours of Le Mans in 1966.",Action
Stalker,Andrei Tarkovsky,"Alisa Freyndlikh, Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko",A guide leads two men through an area known as the Zone to find a room that grants wishes.,Drama
The Truman Show,Peter Weir,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone",An insurance salesman discovers his whole life is actually a reality TV show.,Comedy
The Big Lebowski,Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",Comedy
Tokyo Story,Yasujir√¥ Ozu,"Chish√ª Ry√ª, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura",An old couple visit their children and grandchildren in the city; but the children have little time for them.,Drama
Relatos salvajes,Dami√°n Szifron,"Darío Grandinetti, María Marull, Mónica Villa",Six short stories that explore the extremities of human behavior involving people in distress.,Comedy
Mary and Max,Adam Elliot,"Toni Collette, Philip Seymour Hoffman, Barry Humphries, Eric Bana","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",Animation
In the Name of the Father,Jim Sheridan,"Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson",A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,Biography
Gone Girl,David Fincher,"Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Drama
Hacksaw Ridge,Mel Gibson,"Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Biography
The General,Clyde Bruckman,"Buster Keaton, Marion Mack, Glen Cavender, Jim Farley","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",Action
Sherlock Jr.,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Action
How to Train Your Dragon,Dean DeBlois,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Animation
Mr. Smith Goes to Washington,Frank Capra,"Jean Arthur, James Stewart, Claude Rains, Edward Arnold","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",Comedy
Memories of Murder,Bong Joon Ho,"Kang-ho Song, Sang-kyung Kim, Roe-ha Kim, Jae-ho Song","In a small Korean province in 1986, three detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Action
The Grand Budapest Hotel,Wes Anderson,"Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",Adventure
Persona,Ingmar Bergman,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Bj√∂rnstrand",A nurse is put in charge of a mute actress and finds that their personae are melding together.,Drama
Before Sunrise,Richard Linklater,"Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno P√∂schl","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",Drama
