Movie Name,Director,Running Time,Country,Language,IMDB Rating,Genre,Number of votes,Plot,Cast,Release Year
Heat,Michael Mann,170,USA,English,8.2,Crime,"536,187",A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,"Al Pacino, Robert De Niro, Val Kilmer",1995
Rash√¥mon,Akira Kurosawa,88,Japan,Japanese,8.2,Crime,"139,682","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Toshirô Mifune, Machiko Kyô, Masayuki Mori",1951
Die Hard,John McTiernan,132,USA,English,8.2,Action,"735,587",An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,"Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason",1988
Batman Begins,Christopher Nolan,140,USA,English,8.2,Action,"1,225,799","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",2005
Yojimbo,Akira Kurosawa,110,Japan,Japanese,8.2,Action,"101,332",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Toshir√¥ Mifune, Tatsuya Nakadai, Y√¥ko Tsukasa, Isuzu Yamada",1961
Unforgiven,Clint Eastwood,130,USA,English,8.2,Drama,"349,751","Retired Old West gunslinger William Munny (Clint Eastwood) reluctantly takes on one last job, with the help of his old partner Ned Logan (Morgan Freeman) and a young man, The ""Schofield Kid"" (Jaimz Woolvett).","Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris",1992
Green Book,Peter Farrelly,130,USA,English,8.2,Biography,"261,325",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"Viggo Mortensen, Mahershala Ali, Linda Cardellini",2018
Downfall,Oliver Hirschbiegel,156,Germany,German,8.2,Biography,"312,273","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes",2005
Children of Heaven,Majid Majidi,89,Iran,Persian,8.3,Drama,"56,552","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi",1999
Some Like It Hot,Billy Wilder,121,USA,English,8.2,Comedy,"226,701","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft",1959
Howl's Moving Castle,Hayao Miyazaki,119,Japan,Japanese,8.2,Animation,"291,768","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","Chieko Baish√¥, Takuya Kimura, Akihiro Miwa, Tatsuya Gash√ªin",2005
The Great Escape,John Sturges,172,USA,English,8.2,Adventure,"209,468",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Steve McQueen, James Garner, Richard Attenborough, James Donald",1963
My Neighbor Totoro,Hayao Miyazaki,86,Japan,Japanese,8.2,Animation,"247,339","When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, Sumi Shimamoto",1990
